1,0,747,515,40,91
1,1,1400,596,146,332
1,2,646,578,123,280
1,3,1272,496,40,91
1,4,824,511,33,76
1,5,1874,551,73,167
1,6,507,595,103,234
1,7,608,559,123,280
1,8,1476,626,159,362
1,9,1525,601,159,362
1,10,1117,496,47,108
1,11,705,524,67,153
1,12,1016,482,26,59
1,13,1173,478,40,91
1,14,759,527,40,91
1,15,685,138,40,91
2,0,646,578,123,280
2,1,1427,601,159,362
2,2,753,521,40,91
2,3,1272,496,40,91
2,4,824,511,33,76
2,5,491,580,103,234
2,6,1874,551,73,167
2,7,1525,601,159,362
2,8,608,559,123,280
2,9,1012,482,26,59
2,10,1117,496,40,91
2,11,1173,478,40,91
2,12,709,525,61,139
2,13,1033,486,43,98
3,0,1427,601,159,362
3,1,747,515,40,91
3,2,627,578,123,280
3,3,1272,496,40,91
3,4,1501,601,159,362
3,5,491,580,103,234
3,6,1874,551,73,167
3,7,680,572,61,139
3,8,988,486,26,59
3,9,824,518,26,59
3,10,1016,482,26,59
3,11,564,511,36,83
3,12,1114,493,43,98
3,13,1173,478,40,91
3,14,702,506,87,199
4,0,1427,601,159,362
4,1,753,521,40,91
4,2,646,578,123,280
4,3,1272,496,40,91
4,4,491,580,103,234
4,5,824,518,26,59
4,6,1874,551,73,167
4,7,608,559,123,280
4,8,1476,626,159,362
4,9,1112,492,52,118
4,10,1032,476,52,118
4,11,1550,601,159,362
4,12,1173,478,40,91
4,13,698,517,94,214
4,14,951,478,40,91
5,0,1427,601,159,362
5,1,627,578,123,280
5,2,751,513,43,98
5,3,507,595,103,234
5,4,1272,496,40,91
5,5,680,572,61,139
5,6,824,518,26,59
5,7,1514,607,175,398
5,8,1117,496,40,91
5,9,1879,546,87,199
5,10,1029,481,47,108
5,11,1173,478,40,91
6,0,1427,601,159,362
6,1,628,566,113,257
6,2,752,542,26,59
6,3,494,605,94,214
6,4,1275,499,43,98
6,5,824,518,26,59
6,6,746,521,30,70
6,7,684,565,67,153
6,8,1874,551,73,167
6,9,1476,626,159,362
6,10,1117,496,40,91
6,11,1036,481,47,108
6,12,1525,601,159,362
6,13,1014,481,28,64
6,14,1173,478,40,91
7,0,1451,601,159,362
7,1,747,515,40,91
7,2,627,578,123,280
7,3,1272,496,40,91
7,4,507,595,103,234
7,5,759,521,40,91
7,6,824,518,26,59
7,7,1874,551,73,167
7,8,1525,601,159,362
7,9,665,597,123,280
7,10,1033,479,43,98
7,11,564,511,36,83
7,12,1012,482,26,59
7,13,1173,478,40,91
7,14,1117,488,47,108
7,15,951,478,40,91
8,0,747,509,40,91
8,1,627,578,123,280
8,2,1272,496,40,91
8,3,1451,601,159,362
8,4,507,595,103,234
8,5,752,546,26,59
8,6,1550,601,159,362
8,7,824,518,26,59
8,8,1874,551,73,167
8,9,1033,479,43,98
8,10,681,562,73,167
8,11,1117,488,47,108
8,12,564,511,36,83
8,13,1012,482,26,59
8,14,709,525,61,139
8,15,1173,478,40,91
9,0,747,509,40,91
9,1,1476,601,159,362
9,2,627,578,123,280
9,3,491,595,103,234
9,4,1272,496,40,91
9,5,1550,601,159,362
9,6,752,546,26,59
9,7,1874,551,73,167
9,8,1033,479,43,98
9,9,824,522,26,59
9,10,1120,499,43,98
9,11,523,611,103,234
9,12,716,502,26,59
9,13,694,556,36,83
9,14,1014,481,28,64
9,15,564,511,36,83
9,16,1173,478,40,91
10,0,1476,601,159,362
10,1,747,509,40,91
10,2,628,566,113,257
10,3,491,595,103,234
10,4,1272,496,40,91
10,5,1550,601,159,362
10,6,523,611,103,234
10,7,1874,551,73,167
10,8,757,532,33,76
10,9,1033,479,43,98
10,10,1120,499,43,98
10,11,663,583,113,257
10,12,824,522,26,59
10,13,564,511,36,83
10,14,1012,478,26,59
10,15,1173,478,40,91
11,0,628,566,113,257
11,1,1476,601,159,362
11,2,747,509,40,91
11,3,494,605,94,214
11,4,1272,496,40,91
11,5,1541,607,175,398
11,6,748,546,26,59
11,7,1874,551,73,167
11,8,564,511,36,83
11,9,681,562,73,167
11,10,1120,499,43,98
11,11,523,620,94,214
11,12,824,522,26,59
11,13,1012,482,26,59
11,14,1033,486,43,98
11,15,1173,478,40,91
11,16,759,515,40,91
12,0,628,566,113,257
12,1,505,601,113,257
12,2,747,509,40,91
12,3,1476,601,159,362
12,4,1541,607,175,398
12,5,1272,496,40,91
12,6,1874,551,73,167
12,7,755,540,30,70
12,8,564,511,36,83
12,9,663,583,113,257
12,10,720,502,26,59
12,11,824,511,33,76
12,12,1117,496,47,108
12,13,1173,478,40,91
12,14,1595,580,175,398
12,15,1033,486,43,98
13,0,505,601,113,257
13,1,628,566,113,257
13,2,745,522,36,83
13,3,1501,601,159,362
13,4,1574,601,159,362
13,5,1874,551,73,167
